Ball,Condition,Ball_Speed_mph,Carry_yd,Total_yd,Spin_rpm
"Tour Edge Exotics",7 Iron Fast,123.89,185.83,196.37,5928
"Tour Edge Exotics",7 Iron Mid,112.43,158.17,168.54,5825
"Tour Edge Exotics",Driver Fast,167.93,290.35,325.93,2273
"Tour Edge Exotics",Driver Mid,148.47,252.54,285,2682
"Tour Edge Exotics",Wedge 35,42.71,35.28,41.57,5078
"Tour Edge Exotics",Wedge Full (Dry),82.85,100.67,105,10229
"Vice Pro",7 Iron Fast,124.01,183.99,194.61,5985
"Vice Pro",7 Iron Mid,112.1,159.96,171.56,5790
"Vice Pro",Driver Fast,168.2,284.03,316.72,2290
"Vice Pro",Driver Mid,148.71,253.86,286.73,2696
"Vice Pro",Wedge 35,42.67,35.19,41.5,5092
"Vice Pro",Wedge Full (Dry),83,100.54,104.79,10450
"Vice Pro Air",7 Iron Fast,123.7,181.88,191.41,5827
"Vice Pro Air",7 Iron Mid,112.05,158.74,169.29,5545
"Vice Pro Air",Driver Fast,166.47,275.33,307.01,2156
"Vice Pro Air",Driver Mid,147.52,253.12,285.44,2577
"Vice Pro Air",Wedge 35,42.92,35.38,41.8,5373
"Vice Pro Air",Wedge Full (Dry),83.12,100.84,105.13,10201
"Vice Pro Plus",7 Iron Fast,124.14,177.87,185.8,6674
"Vice Pro Plus",7 Iron Mid,112.18,158.52,166.46,6610
"Vice Pro Plus",Driver Fast,169.17,293.27,325.26,2508
"Vice Pro Plus",Driver Mid,149.36,258.07,287.39,2929
"Vice Pro Plus",Wedge 35,42.52,34.73,41.09,5531
"Vice Pro Plus",Wedge Full (Dry),82.6,99.9,104.08,10727
"Vice Tour",7 Iron Fast,123.62,176.89,184.44,6760
"Vice Tour",7 Iron Mid,111.53,157.3,167.22,6088
"Vice Tour",Driver Fast,168.05,285.27,313.27,2307
"Vice Tour",Driver Mid,148.53,256.11,286.72,2707
"Vice Tour",Wedge 35,42.58,35.44,41.73,4538
"Vice Tour",Wedge Full (Dry),81.88,98.77,103.28,9409
"Wilson Staff Model",7 Iron Fast,124.63,185.46,195.17,6282
"Wilson Staff Model",7 Iron Mid,112.49,161.14,172.14,6076
"Wilson Staff Model",Driver Fast,170.14,288.32,319.97,2324
"Wilson Staff Model",Driver Mid,150.06,258.08,289.31,2779
"Wilson Staff Model",Wedge 35,42.65,35.14,41.34,5293
"Wilson Staff Model",Wedge Full (Dry),83.17,100.43,104.54,10730
